Data, Hum, Temp
2015-01-31_02:51:56,41,17
2015-01-31_03:01:57,41,17
2015-01-31_03:11:57,41,17
2015-01-31_03:21:58,41,17
2015-01-31_03:31:58,41,17
2015-01-31_03:41:59,41,17
2015-01-31_03:51:59,41,17
2015-01-31_04:02:00,41,17
2015-01-31_04:12:01,41,17
2015-01-31_04:22:01,41,17
2015-01-31_04:32:02,42,17
2015-01-31_04:42:02,42,16
2015-01-31_04:52:03,42,16
2015-01-31_05:02:03,42,16
2015-01-31_05:12:04,42,16
2015-01-31_05:22:04,42,16
2015-01-31_05:32:05,42,16
2015-01-31_05:42:05,42,16
2015-01-31_05:52:06,42,16
2015-01-31_06:02:06,42,16
2015-01-31_06:12:07,42,16
2015-01-31_06:22:07,42,17
2015-01-31_06:32:08,41,17
2015-01-31_06:42:08,42,17
2015-01-31_06:52:09,41,17
2015-01-31_07:02:10,41,17
2015-01-31_07:12:10,41,17
2015-01-31_07:22:11,41,18
2015-01-31_07:32:11,41,18
2015-01-31_07:42:12,41,18
2015-01-31_07:52:12,41,18
2015-01-31_08:02:13,41,18
2015-01-31_08:12:13,41,18
2015-01-31_08:22:14,41,18
2015-01-31_08:32:14,40,19
2015-01-31_08:42:15,40,18
2015-01-31_08:52:16,40,18
2015-01-31_09:02:16,41,18
2015-01-31_09:12:17,41,18
2015-01-31_09:22:17,40,19
2015-01-31_09:32:18,40,19
2015-01-31_09:42:18,40,19
2015-01-31_09:52:19,41,18
2015-01-31_10:02:19,41,18
2015-01-31_10:12:20,41,18
2015-01-31_10:22:20,41,18
2015-01-31_10:32:21,41,18
2015-01-31_10:42:21,40,18
2015-01-31_10:52:22,40,18
2015-01-31_11:02:23,40,18
2015-01-31_11:12:23,40,18
2015-01-31_11:22:24,40,18
2015-01-31_11:32:24,40,18
2015-01-31_11:42:25,40,18
2015-01-31_11:52:26,40,18
2015-01-31_12:02:26,40,18
2015-01-31_12:12:27,40,18
2015-01-31_12:22:27,40,18
2015-01-31_12:32:28,40,18
2015-01-31_12:42:28,40,18
2015-01-31_12:52:29,40,18
2015-01-31_13:02:29,40,18
2015-01-31_13:12:30,40,18
2015-01-31_13:22:31,40,18
2015-01-31_13:32:31,40,18
2015-01-31_13:42:32,40,18
2015-01-31_13:52:32,40,18
2015-01-31_14:02:33,40,18
2015-01-31_14:12:33,39,18
2015-01-31_14:22:34,39,18
2015-01-31_14:32:34,39,18
2015-01-31_14:42:35,39,18
2015-01-31_14:52:35,39,18
2015-01-31_15:02:36,39,18
2015-01-31_15:12:36,39,18
2015-01-31_15:22:37,39,18
2015-01-31_15:32:38,39,18
2015-01-31_15:42:38,39,18
2015-01-31_15:52:39,39,18
2015-01-31_16:02:39,39,18
2015-01-31_16:12:40,39,18
2015-01-31_16:22:40,39,18
2015-01-31_16:32:41,39,18
2015-01-31_16:42:41,39,18
2015-01-31_16:52:42,39,18
2015-01-31_17:02:42,39,18
2015-01-31_17:12:43,39,18
2015-01-31_17:22:44,39,18
2015-01-31_17:32:44,39,18
2015-01-31_17:42:45,39,18
2015-01-31_17:52:45,39,18
2015-01-31_18:02:46,39,18
2015-01-31_18:12:46,39,18
2015-01-31_18:22:47,39,18
2015-01-31_18:32:47,39,18
2015-01-31_18:42:48,39,18
2015-01-31_18:52:48,39,18
2015-01-31_19:02:49,40,18
2015-01-31_19:12:49,39,18
2015-01-31_19:22:50,39,18
2015-01-31_19:32:50,39,18
2015-01-31_19:42:51,39,18
2015-01-31_19:52:51,39,18
2015-01-31_20:02:52,39,18
2015-01-31_20:12:53,39,18
2015-01-31_20:22:53,39,18
2015-01-31_20:32:54,39,18
2015-01-31_20:42:54,39,18
2015-01-31_20:52:55,39,18
2015-01-31_21:02:55,39,18
2015-01-31_21:12:56,39,18
